company_code,journal_no,line_no,posting_date,account_code,debit_lc,credit_lc,user_id
CANON,772,1,2026-01-04 00:00:00,510101010103,88912.74,0,unknown
CANON,779,1,2026-01-04 00:00:00,510101010101,2540044.75,0,unknown
CANON,779,3,2026-01-04 00:00:00,510101010103,80629.07,0,unknown
CANON,779,5,2026-01-04 00:00:00,540101010101,45937.07,0,unknown
CANON,779,7,2026-01-04 00:00:00,510101060101,339255.47,0,unknown
CANON,782,1,2026-01-04 00:00:00,510101020101,247500,0,unknown
CANON,790,1,2026-01-04 00:00:00,510201010103,272947.98,0,unknown
CANON,793,2,2026-01-04 00:00:00,710101010104,0,0,unknown
CANON,803,1,2026-01-04 00:00:00,810101010101,0,0,unknown
CANON,804,1,2026-01-05 00:00:00,810101010101,0,0,unknown
CANON,804,2,2026-01-05 00:00:00,410101010103,0,300000,unknown
CANON,804,4,2026-01-05 00:00:00,510101010103,188802.68,0,unknown
CANON,809,2,2026-01-05 00:00:00,710101010104,0,0,unknown
CANON,810,2,2026-01-05 00:00:00,710101010104,0,0,unknown
CANON,812,2,2026-01-05 00:00:00,710101010104,0,0,unknown
CANON,813,2,2026-01-05 00:00:00,710101010104,0,0,unknown
CANON,824,1,2026-01-05 00:00:00,810101010101,0,0,unknown
CANON,824,2,2026-01-05 00:00:00,450101010104,0,25000,unknown
CANON,827,2,2026-01-05 00:00:00,710101010104,0,0,unknown
CANON,830,2,2026-01-05 00:00:00,710101010104,0,0,unknown
CANON,832,1,2026-01-05 00:00:00,810101010101,0,0,unknown
CANON,832,2,2026-01-05 00:00:00,450101010104,0,75000,unknown
CANON,841,2,2026-01-05 00:00:00,710101010104,0,0,unknown
CANON,843,1,2026-01-05 00:00:00,810101010101,0,0,unknown
CANON,843,2,2026-01-05 00:00:00,410101010103,0,95000,unknown
CANON,843,4,2026-01-05 00:00:00,510101010103,73561.53,0,unknown
CANON,845,1,2026-01-05 00:00:00,540101010101,214927.43,0,unknown
CANON,846,1,2026-01-05 00:00:00,510101020101,742500,0,unknown
CANON,849,1,2026-01-05 00:00:00,510201030102,80207.59,0,unknown
CANON,849,3,2026-01-05 00:00:00,540101010101,55019.09,0,unknown
CANON,854,1,2026-01-05 00:00:00,810101010101,0,0,unknown
CANON,854,2,2026-01-05 00:00:00,440101010101,0,260000,unknown
CANON,855,1,2026-01-05 00:00:00,510101010103,1788069.84,0,unknown
CANON,862,1,2026-01-05 00:00:00,810101010101,0,0,unknown
CANON,862,2,2026-01-05 00:00:00,410101010103,0,365000,unknown
CANON,862,4,2026-01-05 00:00:00,510101010103,250947.29,0,unknown
CANON,863,1,2026-01-05 00:00:00,510101010103,161258.14,0,unknown
